date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:07	51064/51064	---M-Z	200	added ('OK')	text/html	etag:W/%2243f8a4aa2e7c6e2c5c8529fb548330c2--gzip%22	https://centipede-semi.squarespace.com/	E:/DirecTrainS/Centipede/Centipede/centipede-semi.squarespace.com/index.html	(from )
10:27:08	324/324	---M-Z	200	added ('OK')	text/plain	date:Sat,%2007%20Sep%202019%2017:27:06%20GMT	https://centipede-semi.squarespace.com/robots.txt		(from )
10:27:09	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sat,%2007%20Sep%202019%2017:27:10%20GMT	https://static1.squarespace.com/static/56e52a073c44d8234e191e0f/t/56f91497ac962c8475256cf7/favicon.ico	E:/DirecTrainS/Centipede/Centipede/static1.squarespace.com/static/56e52a073c44d8234e191e0f/t/56f91497ac962c8475256cf7/favicon.0.delayed	(from https://centipede-semi.squarespace.com/)
10:27:09	6807/6807	---M--	200	added ('OK')	image/png	etag:CPGAnKHZ3OMCEAE=	https://images.squarespace-cdn.com/content/56e52a073c44d8234e191e0f/1459164311058-GAP47UB1DKVVQ483EQQO/favicon.ico?content-type=image%2Fpng	E:/DirecTrainS/Centipede/Centipede/images.squarespace-cdn.com/content/56e52a073c44d8234e191e0f/1459164311058-GAP47UB1DKVVQ483EQQO/favicon5d45.png	(from https://centipede-semi.squarespace.com/)
10:27:10	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Sat,%2007%20Sep%202019%2017:27:11%20GMT	http://static1.squarespace.com/static/56e52a073c44d8234e191e0f/t/5d385126e5cb3b0001d5c94c/1563971883240/static1.squarespace.png?format=1500w	E:/DirecTrainS/Centipede/Centipede/static1.squarespace.com/static/56e52a073c44d8234e191e0f/t/5d385126e5cb3b0001d5c94c/1563971883240/static1.squarespace.226f7.delayed	(from https://centipede-semi.squarespace.com/)
10:27:12	39392/39392	---M--	200	added ('OK')	image/png	etag:CJT0oKTJzeMCEAE=	https://images.squarespace-cdn.com/content/56e52a073c44d8234e191e0f/1563971882185-TFK2PLHLVL0UEXCDU2Z6/static1.squarespace.png?content-type=image%2Fpng	E:/DirecTrainS/Centipede/Centipede/images.squarespace-cdn.com/content/56e52a073c44d8234e191e0f/1563971882185-TFK2PLHLVL0UEXCDU2Z6/static1.squarespace5d45.png	(from https://centipede-semi.squarespace.com/)
10:27:12	51064/51064	---M-Z	200	added ('OK')	text/html	etag:W/%22236a2d4c95511d33e5c964268078d006--gzip%22	http://centipede-semi.com/	E:/DirecTrainS/Centipede/Centipede/centipede-semi.com/index.html	(from https://centipede-semi.squarespace.com/)
10:27:17	712/712	---M--	200	added ('OK')	application/rss+xml	etag:W/%22588e5cd85a39f25155f32c9695ef0705%22	http://centipede-semi.com/home-1?format=RSS	E:/DirecTrainS/Centipede/Centipede/centipede-semi.com/home-1cecb	(from https://centipede-semi.squarespace.com/)
10:27:18	519331/519331	---M-Z	200	added ('OK')	text/css	date:Sat,%2007%20Sep%202019%2017:27:18%20GMT	http://static1.squarespace.com/static/sitecss/56e52a073c44d8234e191e0f/115/52a74dafe4b073a80cd253c5/56e52a073c44d8234e191e16/1028-05142015/1498568375947/site.css?&filterFeatures=false	E:/DirecTrainS/Centipede/Centipede/static1.squarespace.com/static/sitecss/56e52a073c44d8234e191e0f/115/52a74dafe4b073a80cd253c5/56e52a073c44d8234e191e16/1028-05142015/1498568375947/site8696.css	(from https://centipede-semi.squarespace.com/)
10:27:20	55178/55178	---M-Z	200	added ('OK')	text/javascript	etag:%22f9cf163b2cd5d24eddc6c1104399c9d5%22	http://assets.squarespace.com/universal/scripts-compressed/performance-2641bb4c4d35c84dfc854-min.en-US.js	E:/DirecTrainS/Centipede/Centipede/assets.squarespace.com/universal/scripts-compressed/performance-2641bb4c4d35c84dfc854-min.en-US.js	(from https://centipede-semi.squarespace.com/)
